Year,Winning League,Winning team,Winning Team Modern Franchise,Winning Manager,Games,Losing League,Losing team,Losing Team Modern Franchise,Losing Manager
1988,National League,LosAngeles_Dodgers,LosAngeles_Dodgers,Tommy Lasorda,4–1,American League,Oakland_Athletics,Oakland_Athletics,Tony La Russa
1989,American League,Oakland_Athletics,Oakland_Athletics,Tony La Russa,4–0,National League,SanFrancisco_Giants,SanFrancisco_Giants,Roger Craig
1990,National League,Cincinnati_Reds,Cincinnati_Reds,Lou Piniella,4–0,American League,Oakland_Athletics,Oakland_Athletics,Tony La Russa
1991,American League,Minnesota_Twins,Minnesota_Twins,Tom Kelly,4–3,National League,Atlanta_Braves,Atlanta_Braves,Bobby Cox
1992,American League,Toronto_Blue_Jays,Toronto_Blue_Jays,Cito Gaston,4–2,National League,Atlanta_Braves,Atlanta_Braves,Bobby Cox
1993,American League,Toronto_Blue_Jays,Toronto_Blue_Jays,Cito Gaston,4–2,National League,Philadelphia_Phillies,Philadelphia_Phillies,Jim Fregosi
1995,National League,Atlanta_Braves,Atlanta_Braves,Bobby Cox,4–2,American League,Cleveland_Indians,Cleveland_Indians,Mike Hargrove
1996,American League,NewYork_Yankees,NewYork_Yankees,Joe Torre,4–2,National League,Atlanta_Braves,Atlanta_Braves,Bobby Cox
1997,National League,Miami_Marlins,Miami_Marlins,Jim Leyland,4–3,American League,Cleveland_Indians,Cleveland_Indians,Mike Hargrove
1998,American League,NewYork_Yankees,NewYork_Yankees,Joe Torre,4–0,National League,SanDiego_Padres,SanDiego_Padres,Bruce Bochy
1999,American League,NewYork_Yankees,NewYork_Yankees,Joe Torre,4–0,National League,Atlanta_Braves,Atlanta_Braves,Bobby Cox
2000,American League,NewYork_Yankees,NewYork_Yankees,Joe Torre,4–1,National League,NewYork_Mets,NewYork_Mets,Bobby Valentine
2001,National League,Arizona_Diamondbacks,Arizona_Diamondbacks,Bob Brenly,4–3,American League,NewYork_Yankees,NewYork_Yankees,Joe Torre
2002,American League,LosAngeles_Angels,LosAngeles_Angels,Mike Scioscia,4–3,National League,SanFrancisco_Giants,SanFrancisco_Giants,Dusty Baker
2003,National League,Miami_Marlins,Miami_Marlins,Jack McKeon,4–2,American League,NewYork_Yankees,NewYork_Yankees,Joe Torre
2004,American League,Boston_Redsox,Boston_Redsox,Terry Francona,4–0,National League,StLouis_Cardinals,StLouis_Cardinals,Tony La Russa
2005,American League,Chicago_White_Sox,Chicago_White_Sox,Ozzie Guillén,4–0,National League,Houston_Astros,Houston_Astros,Phil Garner
2006,National League,StLouis_Cardinals,StLouis_Cardinals,Tony La Russa,4–1,American League,Detroit_Tigers,Detroit_Tigers,Jim Leyland
2007,American League,Boston_Redsox,Boston_Redsox,Terry Francona,4–0,National League,Colorado_Rockies,Colorado_Rockies,Clint Hurdle
2008,National League,Philadelphia_Phillies,Philadelphia_Phillies,Charlie Manuel,4–1,American League,TampaBay_Rays,TampaBay_Rays,Joe Maddon
2009,American League,NewYork_Yankees,NewYork_Yankees,Joe Girardi,4–2,National League,Philadelphia_Phillies,Philadelphia_Phillies,Charlie Manuel
2010,National League,SanFrancisco_Giants,SanFrancisco_Giants,Bruce Bochy,4–1,American League,Texas_Rangers,Texas_Rangers,Ron Washington
2011,National League,StLouis_Cardinals,StLouis_Cardinals,Tony La Russa,4–3,American League,Texas_Rangers,Texas_Rangers,Ron Washington
2012,National League,SanFrancisco_Giants,SanFrancisco_Giants,Bruce Bochy,4–0,American League,Detroit_Tigers,Detroit_Tigers,Jim Leyland
2013,American League,Boston_Redsox,Boston_Redsox,John Farrell,4–2,National League,StLouis_Cardinals,StLouis_Cardinals,Mike Matheny
2014,National League,SanFrancisco_Giants,SanFrancisco_Giants,Bruce Bochy,4–3,American League,KansasCity_Royals,KansasCity_Royals,Ned Yost
2015,American League,KansasCity_Royals,KansasCity_Royals,Ned Yost,4–1,National League,NewYork_Mets,NewYork_Mets,Terry Collins
2016,National League,Chicago_Cubs,Chicago_Cubs,Joe Maddon,4–3,American League,Cleveland_Indians,Cleveland_Indians,Terry Francona
2017,American League,Houston_Astros,Houston_Astros,A. J. Hinch,4–3,National League,LosAngeles_Dodgers,LosAngeles_Dodgers,Dave Roberts
