Area identifier,Area,Employment rate - 2013 Q4 rolling,Employment rate 2014 Quarter 1 rolling,2014 Quarter 2 rolling,2014 Quarter 3 rolling,2014 Quarter 4 rolling,2015 Quarter 1 rolling,2015 Quarter 2 rolling,2015 Quarter 3 rolling,2015 Quarter 4 rolling,2016 Quarter 1 rolling,2016 Quarter 2 rolling,2016 Quarter 3 rolling,2016 Quarter 4 rolling
E92000001,England,71.5,71.9,72,72.5,72.5,72.9,73.3,73.6,73.8,73.9,74,74.1,74.3
E06000026,Plymouth,70.1,71.9,71.7,72.2,72.7,71.8,73.4,74,73.7,74.6,74,74,73.8
