Year,Winning League,Winning team,Winning Team Modern Franchise,Winning Manager,Games,Losing League,Losing team,Losing Team Modern Franchise,Losing Manager
1970,American League,Baltimore Orioles,Baltimore Orioles,Earl Weaver,4–1,National League,Cincinnati Reds,Cincinnati Reds,Sparky Anderson
1971,National League,Pittsburgh Pirates,Pittsburgh Pirates,Danny Murtaugh,4–3,American League,Baltimore Orioles,Baltimore Orioles,Earl Weaver
1972,American League,Oakland Athletics,Oakland Athletics,Dick Williams,4–3,National League,Cincinnati Reds,Cincinnati Reds,Sparky Anderson
1973,American League,Oakland Athletics,Oakland Athletics,Dick Williams,4–3,National League,New York Mets,New York Mets,Yogi Berra
1974,American League,Oakland Athletics,Oakland Athletics,Alvin Dark,4–1,National League,Los Angeles Dodgers,Los Angeles Dodgers,Walter Alston
1975,National League,Cincinnati Reds,Cincinnati Reds,Sparky Anderson,4–3,American League,Boston Red Sox,Boston Red Sox,Darrell Johnson
1976,National League,Cincinnati Reds,Cincinnati Reds,Sparky Anderson,4–0,American League,New York Yankees,New York Yankees,Billy Martin
1977,American League,New York Yankees,New York Yankees,Billy Martin,4–2,National League,Los Angeles Dodgers,Los Angeles Dodgers,Tommy Lasorda
1978,American League,New York Yankees,New York Yankees,Bob Lemon,4–2,National League,Los Angeles Dodgers,Los Angeles Dodgers,Tommy Lasorda
1979,National League,Pittsburgh Pirates,Pittsburgh Pirates,Chuck Tanner,4–3,American League,Baltimore Orioles,Baltimore Orioles,Earl Weaver
1980,National League,Philadelphia Phillies,Philadelphia Phillies,Dallas Green,4–2,American League,Kansas City Royals,Kansas City Royals,Jim Frey
1981,National League,Los Angeles Dodgers,Los Angeles Dodgers,Tommy Lasorda,4–2,American League,New York Yankees,New York Yankees,Bob Lemon
1982,National League,St. Louis Cardinals,St. Louis Cardinals,Whitey Herzog,4–3,American League,Milwaukee Brewers,Milwaukee Brewers,Harvey Kuenn
1983,American League,Baltimore Orioles,Baltimore Orioles,Joe Altobelli,4–1,National League,Philadelphia Phillies,Philadelphia Phillies,Paul Owens
1984,American League,Detroit Tigers,Detroit Tigers,Sparky Anderson,4–1,National League,San Diego Padres,San Diego Padres,Dick Williams
1985,American League,Kansas City Royals,Kansas City Royals,Dick Howser,4–3,National League,St. Louis Cardinals,St. Louis Cardinals,Whitey Herzog
1986,National League,New York Mets,New York Mets,Davey Johnson,4–3,American League,Boston Red Sox,Boston Red Sox,John McNamara
1987,American League,Minnesota Twins,Minnesota Twins,Tom Kelly,4–3,National League,St. Louis Cardinals,St. Louis Cardinals,Whitey Herzog
1988,National League,Los Angeles Dodgers,Los Angeles Dodgers,Tommy Lasorda,4–1,American League,Oakland Athletics,Oakland Athletics,Tony La Russa
1989,American League,Oakland Athletics,Oakland Athletics,Tony La Russa,4–0,National League,San Francisco Giants,San Francisco Giants,Roger Craig
1990,National League,Cincinnati Reds,Cincinnati Reds,Lou Piniella,4–0,American League,Oakland Athletics,Oakland Athletics,Tony La Russa
1991,American League,Minnesota Twins,Minnesota Twins,Tom Kelly,4–3,National League,Atlanta Braves,Atlanta Braves,Bobby Cox
1992,American League,Toronto Blue Jays,Toronto Blue Jays,Cito Gaston,4–2,National League,Atlanta Braves,Atlanta Braves,Bobby Cox
1993,American League,Toronto Blue Jays,Toronto Blue Jays,Cito Gaston,4–2,National League,Philadelphia Phillies,Philadelphia Phillies,Jim Fregosi
1995,National League,Atlanta Braves,Atlanta Braves,Bobby Cox,4–2,American League,Cleveland Indians,Cleveland Indians,Mike Hargrove
1996,American League,New York Yankees,New York Yankees,Joe Torre,4–2,National League,Atlanta Braves,Atlanta Braves,Bobby Cox
1997,National League,Florida Marlins,Florida Marlins,Jim Leyland,4–3,American League,Cleveland Indians,Cleveland Indians,Mike Hargrove
1998,American League,New York Yankees,New York Yankees,Joe Torre,4–0,National League,San Diego Padres,San Diego Padres,Bruce Bochy
1999,American League,New York Yankees,New York Yankees,Joe Torre,4–0,National League,Atlanta Braves,Atlanta Braves,Bobby Cox
2000,American League,New York Yankees,New York Yankees,Joe Torre,4–1,National League,New York Mets,New York Mets,Bobby Valentine
2001,National League,Arizona Diamondbacks,Arizona Diamondbacks,Bob Brenly,4–3,American League,New York Yankees,New York Yankees,Joe Torre
2002,American League,Anaheim Angels,Anaheim Angels,Mike Scioscia,4–3,National League,San Francisco Giants,San Francisco Giants,Dusty Baker
2003,National League,Florida Marlins,Florida Marlins,Jack McKeon,4–2,American League,New York Yankees,New York Yankees,Joe Torre
2004,American League,Boston Red Sox,Boston Red Sox,Terry Francona,4–0,National League,St. Louis Cardinals,St. Louis Cardinals,Tony La Russa
2005,American League,Chicago White Sox,Chicago White Sox,Ozzie Guillén,4–0,National League,Houston Astros,Houston Astros,Phil Garner
2006,National League,St. Louis Cardinals,St. Louis Cardinals,Tony La Russa,4–1,American League,Detroit Tigers,Detroit Tigers,Jim Leyland
2007,American League,Boston Red Sox,Boston Red Sox,Terry Francona,4–0,National League,Colorado Rockies,Colorado Rockies,Clint Hurdle
2008,National League,Philadelphia Phillies,Philadelphia Phillies,Charlie Manuel,4–1,American League,Tampa Bay Rays,Tampa Bay Rays,Joe Maddon
2009,American League,New York Yankees,New York Yankees,Joe Girardi,4–2,National League,Philadelphia Phillies,Philadelphia Phillies,Charlie Manuel
2010,National League,San Francisco Giants,San Francisco Giants,Bruce Bochy,4–1,American League,Texas Rangers,Texas Rangers,Ron Washington
2011,National League,St. Louis Cardinals,St. Louis Cardinals,Tony La Russa,4–3,American League,Texas Rangers,Texas Rangers,Ron Washington
2012,National League,San Francisco Giants,San Francisco Giants,Bruce Bochy,4–0,American League,Detroit Tigers,Detroit Tigers,Jim Leyland
2013,American League,Boston Red Sox,Boston Red Sox,John Farrell,4–2,National League,St. Louis Cardinals,St. Louis Cardinals,Mike Matheny
2014,National League,San Francisco Giants,San Francisco Giants,Bruce Bochy,4–3,American League,Kansas City Royals,Kansas City Royals,Ned Yost
2015,American League,Kansas City Royals,Kansas City Royals,Ned Yost,4–1,National League,New York Mets,New York Mets,Terry Collins
2016,National League,Chicago Cubs,Chicago Cubs,Joe Maddon,4–3,American League,Cleveland Indians,Cleveland Indians,Terry Francona
2017,American League,Houston Astros,Houston Astros,A. J. Hinch,4–3,National League,Los Angeles Dodgers,Los Angeles Dodgers,Dave Roberts
